gene_id,Symbol,product,,gene_synonym,EC_number
b0001,thrL,thr operon leader peptide,,ECK0001,
b0002,thrA,fused aspartate kinase/homoserine dehydrogenase 1,,ECK0002; Hs; thrA1; thrA2; thrD,1.1.1.3; 2.7.2.4
b0003,thrB,homoserine kinase,,ECK0003,2.7.1.39
b0004,thrC,threonine synthase,,ECK0004,4.2.3.1
b0005,yaaX,DUF2502 domain-containing protein YaaX,,ECK0005,
b0006,yaaA,DNA binding and peroxide stress response protein YaaA,,ECK0006,
b0007,yaaJ,putative transporter YaaJ,,ECK0007,
b0008,talB,transaldolase B,,ECK0008; yaaK,2.2.1.2
b0009,mog,molybdopterin adenylyltransferase,,bisD; chlG; ECK0009; mogA; yaaG,2.7.7.75
b0010,satP,acetate/succinate:H(+) symporter,,ECK0010; yaaH,
b0011,yaaW,putative enzyme-specific chaperone YaaW,,ECK0011,
b0012,mbiA,uncharacterized protein MbiA,,ECK0012; htgA; htpY,
b0013,yaaI,DUF2541 domain-containing protein YaaI,,ECK0013,
b0014,dnaK,chaperone protein DnaK,,ECK0014; groPAB; groPC; groPF; grpC; grpF; seg,3.6.4.10
b0015,dnaJ,chaperone protein DnaJ,,ECK0015; groP; grpC,
b0016,insL1,IS186/IS421 family transposase,,ECK0016; yi81-1,
b0018,mokC,regulatory protein MokC,,ECK0018; gefL,
b4412,hokC,small toxic polypeptide HokC,,ECK0017; gef,
b4413,sokC,small regulatory RNA antitoxin SokC,,ECK0019; sof,
b0019,nhaA,Na(+):H(+) antiporter NhaA,,ant; antA; ECK0020,
b0020,nhaR,DNA-binding transcriptional activator NhaR,,antO; ECK0021; yaaB,
b0021,insB1,IS1 family protein InsB,,ECK0022,
b0022,insA1,IS1 family protein InsA,,ECK0023,
b0023,rpsT,30S ribosomal subunit protein S20,,ECK0024; sup(s20); supS; supS20,
b0024,yaaY,DUF2575 domain-containing protein YaaY,,ECK0025,
b0025,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,,ECK0026; yaaC,2.7.1.26; 2.7.7.2
b0026,ileS,isoleucine--tRNA ligase,,ECK0027; ilvS,6.1.1.5
b0027,lspA,lipoprotein signal peptidase,,ECK0028; lsp,3.4.23.36
b0028,fkpB,peptidyl-prolyl cis-trans isomerase FkpB,,ECK0029; slpA; yaaD,5.2.1.8
b0029,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,ECK0030; lytB; yaaE,1.17.7.4
b0030,rihC,ribonucleoside hydrolase RihC,,ECK0031; yaaF,3.2.2.1; 3.2.2.2; 3.2.2.3; 3.2.2.7
b0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,,ECK0032,1.17.1.8
b0032,carA,carbamoyl-phosphate synthetase small subunit,,arg; ECK0033; pyrA,6.3.5.5
b0033,carB,carbamoyl-phosphate synthetase large subunit,,ECK0034; pyrA,6.3.5.5
b0034,caiF,DNA-binding transcriptional activator CaiF,,ECK0035,
b0035,caiE,putative transferase CaiE,,ECK0036,
b0036,caiD,crotonobetainyl-CoA hydratase,,ECK0037; yaaL,4.2.1.149
b0037,caiC,carnitine--CoA ligase,,ECK0038; yaaM,6.2.1.48
b0038,caiB,gamma-butyrobetainyl-CoA:carnitine CoA transferase,,ECK0039; yaaN,2.8.3.21
b0039,caiA,crotonobetainyl-CoA reductase,,ECK0040; yaaO,1.3.8.13
b0040,caiT,L-carnitine:gamma-butyrobetaine antiporter,,ECK0041; yaaP,
b0041,fixA,putative electron transfer flavoprotein FixA,,ECK0042; yaaQ,
b0042,fixB,putative electron transfer flavoprotein FixB,,ECK0043; yaaR,
b0043,fixC,putative oxidoreductase FixC,,ECK0044; yaaS,
b0044,fixX,putative ferredoxin FixX,,ECK0045; yaaT,
b0045,yaaU,putative transporter YaaU,,ECK0046; yabE,
b0046,kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,,ECK0047; yabF,
b0047,kefC,K(+) : H(+) antiporter KefC,,ECK0048; trkC,
b0048,folA,dihydrofolate reductase,,ECK0049; tmr; tmrA,1.5.1.3
b0049,apaH,diadenosine tetraphosphatase,,cfcB; ECK0050,3.6.1.40; 3.6.1.41
b0050,apaG,DUF525 domain-containing protein ApaG,,ECK0051,
b0051,rsmA,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,,ECK0052; ksgA,2.1.1.182
b0052,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,,ECK0053,1.1.1.262
b0053,surA,chaperone SurA,,ECK0054,5.2.1.8
b0054,lptD,lipopolysaccharide assembly protein LptD,,ECK0055; imp; ostA; yabG,7.5.2.5
b0055,djlA,co-chaperone protein DjlA,,ECK0056; yabH,
b0056,yabP,putative uncharacterized protein YabP,,b4659; ECK0057,
b0057,yabQ,protein YabQ,,b4659; ECK0058,
b0058,rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,,ECK0059; yabO,5.4.99.28; 5.4.99.29
b0059,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,,ECK0060; hepA; yabA,
b0060,polB,DNA polymerase II,,dinA; ECK0061,2.7.7.7
b0061,araD,L-ribulose-5-phosphate 4-epimerase AraD,,ECK0062,5.1.3.4
b0062,araA,L-arabinose isomerase,,ECK0063,5.3.1.4
b0063,araB,ribulokinase,,ECK0064,2.7.1.16
b0064,araC,DNA-binding transcriptional dual regulator AraC,,ECK0065,
b0065,yabI,DedA family protein YabI,,ECK0066,
b0066,thiQ,thiamine ABC transporter ATP binding subunit,,ECK0067; sfuC; yabJ,7.6.2.15
b0067,thiP,thiamine ABC transporter membrane subunit,,ECK0068; sfuB; yabK,7.6.2.15
b0068,thiB,thiamine ABC transporter periplasmic binding protein,,ECK0069; sfuA; tbpA; yabL,7.6.2.15
b4762,sroA,small RNA SroA,,ECK4619; tpe79,
b0069,sgrR,DNA-binding transcriptional dual regulator SgrR,,ECK0070; yabN,
b4577,sgrS,small regulatory RNA SgrS,,ECK0071; ryaA,
b4662,sgrT,PtsG glucose transporter inhibitor,,ECK4477,
b0070,setA,sugar exporter SetA,,ECK0072; yabM,
b0071,leuD,3-isopropylmalate dehydratase subunit LeuD,,ECK0073,4.2.1.33
b0072,leuC,3-isopropylmalate dehydratase subunit LeuC,,ECK0074,4.2.1.33
b0073,leuB,3-isopropylmalate dehydrogenase,,ECK0075,1.1.1.85
b0074,leuA,2-isopropylmalate synthase,,ECK0076,2.3.3.13
b0075,leuL,leu operon leader peptide,,ECK0077; leuIP; leulL; leulLP; leuLP,
b0076,leuO,DNA-binding transcriptional dual regulator LeuO,,ECK0078,
b4726,yabR,protein YabR,,ECK4583,
b0077,ilvI,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",,ECK0079,2.2.1.6
b0078,ilvH,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",,brnP; ECK0080,2.2.1.6
b0080,cra,DNA-binding transcriptional regulator Cra,,ECK0081; fruC; fruR; shl,
b0081,mraZ,DNA-binding transcriptional repressor MraZ,,ECK0082; yabB,
b0082,rsmH,16S rRNA m(4)C1402 methyltransferase,,ECK0083; mraW; yabC,2.1.1.199
b0083,ftsL,cell division protein FtsL,,ECK0084; mraR; yabD,
b0084,ftsI,peptidoglycan DD-transpeptidase FtsI,,ECK0085; pbpB; sep,
b4810,ftsO,small regulatory RNA FtsO,,ECK4667,
b0085,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",,ECK0086,6.3.2.13
b0086,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,,ECK0087; mra,6.3.2.10
b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,,ECK0088; murX,2.7.8.13
b0088,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,,ECK0089,6.3.2.9
b0089,ftsW,peptidoglycan glycosyltransferase FtsW,,ECK0090,
b0090,murG,N-acetylglucosaminyl transferase,,ECK0091,2.4.1.227
b0091,murC,UDP-N-acetylmuramate--L-alanine ligase,,ECK0092,6.3.2.8
b0092,ddlB,D-alanine--D-alanine ligase B,,ddl; ECK0093,6.3.2.4
b0093,ftsQ,cell division protein FtsQ,,ECK0094,
b0094,ftsA,cell division protein FtsA,,divA; ECK0095,
b4840,stfZ,small antisense RNA StfZ,,ECK4697,
b0095,ftsZ,cell division protein FtsZ,,ECK0096; sfiB; sulB,
b0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,,asmB; ECK0097; envA,3.5.1.108
b0097,secM,SecA translation regulator,,ECK0098; srrA; yacA,
b0098,secA,protein translocation ATPase,,azi; ECK0099; pea; prlD,
b0099,mutT,8-oxo-dGTP diphosphatase,,ECK0100; nudA,3.6.1.55; 3.6.1.58
b0101,yacG,DNA gyrase inhibitor YacG,,ECK0101,
b0102,zapD,cell division factor ZapD,,ECK0102; yacF,
b0103,coaE,dephospho-CoA kinase,,ECK0103; yacE,2.7.1.24
b4727,yacM,protein YacM,,ECK4584,
b0104,guaC,GMP reductase,,ECK0104,1.7.1.7
b0106,hofC,inner membrane protein HofC,,ECK0105; hopC; yacD,
b0107,hofB,T2SSE family protein,,ECK0106; hopB,
b0108,ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,,ECK0107,
b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating),,ECK0108,2.4.2.19
b0110,ampD,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",,ECK0109,3.5.1.28
b0111,ampE,protein AmpE,,ECK0110,
b0112,aroP,aromatic amino acid:H(+) symporter AroP,,aroR; ECK0111,
b0113,pdhR,DNA-binding transcriptional dual regulator PdhR,,aceC; ECK0112; genA; yacB,
b0114,aceE,pyruvate dehydrogenase E1 component,,ECK0113,1.2.1.104; 1.2.4.1
b0115,aceF,pyruvate dehydrogenase E2 subunit,,ECK0114,1.2.1.104; 2.3.1.12
b0116,lpd,lipoamide dehydrogenase,,dhl; ECK0115; lpdA,1.2.1.104; 1.2.1.105; 1.4.1.27; 1.8.1.4
b0117,yacH,DUF3300 domain-containing protein YacH,,ECK0116,
b0118,acnB,AcnB,,ECK0117; yacI; yacJ,4.2.1.99
b0119,yacL,PF06062 family protein YacL,,ECK0118,
b0120,speD,S-adenosylmethionine decarboxylase proenzyme,,ECK0119,4.1.1.50
b0121,speE,spermidine synthase,,ECK0120,2.5.1.16
b0122,yacC,putative lipoprotein YacC,,ECK0121,
b0123,cueO,multicopper oxidase CueO,,ECK0122; yacK,1.10.3.2; 1.16.3.1; 1.16.3.4
b0124,gcd,quinoprotein glucose dehydrogenase,,ECK0123,1.1.5.2
b0125,hpt,hypoxanthine phosphoribosyltransferase,,ECK0124,2.4.2.8
b0126,can,carbonic anhydrase 2,,ECK0125; yadF,4.2.1.1
b0127,yadG,putative ABC transporter ATP-binding protein YadG,,ECK0126,
b0128,yadH,putative ABC transporter membrane subunit YadH,,ECK0127,
b0129,yadI,putative PTS enzyme IIA component YadI,,agaX; ECK0128,
b0130,yadE,putative polysaccharide deacetylase lipoprotein YadE,,ECK0129,
b0131,panD,aspartate 1-decarboxylase proenzyme,,ECK0130,4.1.1.11
b0132,rpnC,recombination-promoting nuclease RpnC,,ECK0131; yadD,
b0133,panC,pantothenate synthetase,,ECK0132,6.3.2.1
b0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,,ECK0133,2.1.2.11
b0135,yadC,fimbrial tip-adhesin YadC,,ECK0134,
b0136,yadK,putative fimbrial protein YadK,,ECK0135,
b0137,yadL,putative fimbrial protein YadL,,ECK0136,
b0138,yadM,putative fimbrial protein YadM,,ECK0137,
b0139,htrE,putative fimbrial usher protein HtrE,,ECK0138,
b0140,yadV,putative fimbrial chaperone YadV,,ECK0139; ecpD,
b0141,yadN,putative fimbrial protein YadN,,ECK0140,
b0142,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,,ECK0141,2.7.6.3
b0143,pcnB,poly(A) polymerase I,,ECK0142,2.7.7.19
b0144,gluQ,glutamyl-Q tRNA(Asp) synthetase,,ECK0143; yadB,
b0145,dksA,RNA polymerase-binding transcription factor DksA,,ECK0144; msmA,
b0146,sfsA,sugar fermentation stimulation protein A,,ECK0145; sfs; sfs1,
b0147,thpR,"RNA 2',3'-cyclic phosphodiesterase",,ECK0146; ligT; yadP,3.1.4.58
b0148,hrpB,RNA-dependent NTPase HrpB,,ECK0147; yadO,
b0149,mrcB,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB; PBP-1Bgamma,,ECK0148; pbpF; ponB,
b0150,fhuA,ferrichrome outer membrane transporter/phage receptor,,ECK0149; T1; T5rec; tonA,
b0151,fhuC,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,,ECK0150,7.2.2.16
b0152,fhuD,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,,ECK0151,7.2.2.16
b0153,fhuB,Fe(3(+)) hydroxamate ABC transporter membrane subunit,,ECK0152,7.2.2.16
b0154,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",,ECK0153; gsa; popC,5.4.3.8
b4765,yadX,protein YadX,,ECK4622,
b0155,clcA,chloride:H(+) antiporter ClcA,,ECK0154; eriC; yadQ,
b4728,yadW,protein YadW,,ECK4585,
b0156,erpA,iron-sulfur cluster insertion protein ErpA,,ECK0155; yadR,
b0157,yadS,PF03458 family protein YadS,,ECK0156,
b0158,btuF,vitamin B12 ABC transporter periplasmic binding protein,,ECK0157; yadT,7.6.2.8
b0159,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,ECK0158; mtnN; pfs; yadA,3.2.2.9
b0160,dgt,dGTP triphosphohydrolase,,ECK0159; optA,3.1.5.1
b0161,degP,periplasmic serine endoprotease DegP,,ECK0160; htrA; ptd,3.4.21.107
b0162,cdaR,DNA-binding transcriptional activator CdaR,,ECK0161; sdaR; yaeG,
b0163,yaeH,DUF3461 domain-containing protein YaeH,,ECK0162,
b0164,yaeI,phosphodiesterase YaeI,,ECK0163,
b0166,dapD,tetrahydrodipicolinate succinylase,,ECK0164; ssa,2.3.1.117
b0167,glnD,protein-PII uridylyltransferase/uridylyl-removing enzyme,,ECK0165; glnD5,
b0168,map,methionine aminopeptidase,,ECK0166,3.4.11.18
b4414,tff,putative small RNA T44,,ECK0167; t44,
b0169,rpsB,30S ribosomal subunit protein S2,,ECK0168,
b0170,tsf,protein chain elongation factor EF-Ts,,ECK0169,
b0171,pyrH,UMP kinase,,ECK0170; smbA; umk,2.7.4.22
b0172,frr,ribosome-recycling factor,,ECK0171; rrf,
b0173,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,ECK0172; ispC; yaeM,1.1.1.267
b4809,ispZ,small regulatory RNA IspZ,,ECK4666,
b0174,ispU,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",,ECK0173; rth; uppS; yaeS,2.5.1.31
b0175,cdsA,CDP-diglyceride synthetase,,cds; ECK0174,2.7.7.41
b0176,rseP,intramembrane zinc metalloprotease RseP,,ecfE; ECK0175; yaeL,
b0177,bamA,outer membrane protein assembly factor BamA,,ecfK; ECK0176; yaeT; yzzN; yzzY,
b0178,skp,periplasmic chaperone Skp,,ECK0177; firA; hlpA; ompH,
b0179,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,,ECK0178; firA; omsA,2.3.1.191
b0180,fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,,ECK0179; sabA1; sefA; sfhC21; yaeA,4.2.1.59
b0181,lpxA,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,,ECK0180,2.3.1.129
b0182,lpxB,lipid A disaccharide synthase,,ECK0181; pgsB,2.4.1.182
b0183,rnhB,RNase HII,,ECK0182,3.1.26.4
b0184,dnaE,DNA polymerase III subunit alpha,,ECK0183; polC; sdgC,2.7.7.7
b0185,accA,acetyl-CoA carboxyltransferase subunit alpha,,ECK0184,2.1.3.15
b0186,ldcC,lysine decarboxylase 2,,ECK0185; ldc; ldcH,4.1.1.18
b0187,yaeR,VOC domain-containing protein YaeR,,ECK0186,
b0188,tilS,tRNA(Ile)-lysidine synthetase,,ECK0187; mesJ; yaeN,6.3.4.19
b0189,rof,modulator of Rho-dependent transcription termination,,ECK0188; yaeO,
b4406,yaeP,PF06786 family protein YaeP,,ECK0189,
b0190,yaeQ,uncharacterized protein YaeQ,,ECK0190,
b0191,arfB,"peptidyl-tRNA hydrolase, ribosome rescue factor",,ECK0191; yaeJ,3.1.1.29
b0192,nlpE,sensor lipoprotein NlpE,,cutF; ECK0192,
b0193,yaeF,peptidase C92 family protein YaeF,,ECK0193; yaeK,
b0194,proS,proline--tRNA ligase,,drp; drpA; ECK0194,6.1.1.15
b0195,trmO,tRNA m(6)t(6)A37 methyltransferase,,ECK0195; tsaA; yaeB,
b0196,rcsF,sensor lipoprotein RcsF,,ECK0196,
b0197,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,,ECK0197; metD; yaeC,7.4.2.11
b0198,metI,L-methionine/D-methionine ABC transporter membrane subunit,,ECK0198; metD; yaeE,7.4.2.11
b0199,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,,abc; ECK0199; metD,7.4.2.11
b0200,gmhB,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",,ECK0200; yaeD,3.1.3.82
b0201,rrsH,16S ribosomal RNA,,ECK0201,
b0202,ileV,tRNA-Ile,,ECK0202,
b0203,alaV,tRNA-Ala,,ECK0203,
b0204,rrlH,23S ribosomal RNA,,ECK0204,
b0205,rrfH,5S ribosomal RNA,,ECK0205,
b0206,aspU,tRNA-Asp,,ECK0206,
b0207,dkgB,methylglyoxal reductase DkgB,,ECK0207; yafB,1.1.1.21; 1.1.1.346; 1.1.1.91
b0208,yafC,DNA-binding transcriptional regulator YafC,,ECK0208,
b0209,yafD,endonuclease/exonuclease/phosphatase domain-containing protein YafD,,ECK0209,
b0210,yafE,putative S-adenosylmethionine-dependent methyltransferase,,ECK0210,
b0211,mltD,membrane-bound lytic murein transglycosylase D,,dniR; ECK0211; yafG,
b0212,gloB,hydroxyacylglutathione hydrolase GloB,,ECK0212; yafR,3.1.2.6
b4815,ykfO,protein YkfO,,ECK4672,
b0213,yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,,ECK0213,
b0214,rnhA,ribonuclease HI,,cer; dasF; ECK0214; herA; rnh; sdrA; sin,3.1.26.4
b0215,dnaQ,DNA polymerase III subunit epsilon,,ECK0215; mutD,
b0216,aspV,tRNA-Asp,,ECK0216,
b0217,yafT,lipoprotein YafT,,ECK0217,
b4586,ykfM,uncharacterized protein YkfM,,ECK4397,
b0218,yafU,,,ECK0218,
b4503,yafF,,,ECK0219,
b0219,yafV,2-oxoglutaramate amidase,,ECK0220,3.5.1.111
b0220,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",,ECK0221; ykfE,
b0221,fadE,acyl-CoA dehydrogenase,,ECK0222; yafH,1.3.8.7; 1.3.8.8
b0222,gmhA,D-sedoheptulose 7-phosphate isomerase,,ECK0223; lpcA; tfrA; yafI,5.3.1.28
b0223,yafJ,putative glutamine amidotransferase YafJ,,ECK0224,
b0224,dpaA,peptidoglycan meso-diaminopimelic acid protein amidase A,,ECK0225; ldtF; yafK,
b0225,yafQ,ribosome-dependent mRNA interferase toxin YafQ,,ECK0226,
b0226,dinJ,antitoxin/DNA-binding transcriptional repressor DinJ,,ECK0227; sosA,
b0227,yafL,NlpC/P60 family protein YafL,,ECK0228,
b0228,rayT,REP-associated tyrosine transposase,,ECK0229; yafM,
b0229,lfhA,,,ECK0230; fhiA,
b0230,lafU,,,ECK0231; mbhA,
b0231,dinB,DNA polymerase IV,,dinP; ECK0232,2.7.7.7
b0232,yafN,antitoxin YafN,,ECK0233,
b0233,yafO,ribosome-dependent mRNA interferase toxin YafO,,ECK0234,
b0234,yafP,putative N-acetyltransferase YafP,,ECK0235,
b0235,ykfJ,,,ECK0236,
b0236,prfH,,,ECK0237,
b0237,pepD,peptidase D,,ECK0238; pepH,3.4.13.18
b0238,gpt,xanthine-guanine phsophoribosyltransferase,,ECK0239; glyD; gpp; gxu,2.4.2.22; 2.4.2.8
b0239,frsA,fermentation-respiration switch protein,,ECK0240; yafA,
b0240,crl,RNA polymerase holoenzyme assembly factor Crl,,ECK0241,
b4710,insB9,IS1 transposase B,,ECK4567,
b4709,insA9,IS1 repressor TnpA,,ECK4566,
b0241,phoE,outer membrane porin PhoE,,ECK0242; ompE,
b0242,proB,glutamate 5-kinase,,ECK0243; pro(2); pro2,2.7.2.11
b0243,proA,glutamate-5-semialdehyde dehydrogenase,,ECK0244; pro(1); pro1,1.2.1.41
b0244,thrW,tRNA-Thr,,ECK0245,
b4626,ykfN,,,ECK4458,
b0245,ykfI,toxin of the YkfI-YafW toxin-antitoxin system,,ECK0246,
b0246,yafW,antitoxin of the YkfI-YafW toxin-antitoxin pair,,ECK0247,
b4504,ykfH,DUF987 domain-containing protein YkfH,,ECK0248,
b0247,ykfG,RadC-like JAB domain-containing protein YkfG,,ECK0249,
b0248,yafX,protein YafX,,ECK0250,
b0249,ykfF,protein YkfF,,ECK0251,
b0250,ykfB,protein YkfB,,ECK0252,
b0251,yafY,inner membrane lipoprotein YafY,,ECK0253,
b4627,ykfL,,,ECK4445,
b4628,ykfK,,,ECK4444,
b0252,yafZ,DUF932 domain-containing protein YafZ,,ECK0254,
b0253,ykfA,putative GTP-binding protein YkfA,,ECK0255,
b0254,perR,putative transcriptional regulator PerR,,ECK0256,
b4587,insN,CP4-6 prophage; IS911A regulator fragment,,b0255; b0257; ECK0257; yi91a,
b0256,insI1,IS30 transposase,,ECK0258; tra8-1,
b4690,eyeA,small RNA EyeA,,ECK4506,
b0258,ykfC,PF00078 domain-containing protein YkfC,,ECK0260,
b0259,insH1,IS5 transposase and trans-activator,,ECK0261; trs5; trs5-1; yi52_1,
b0260,mmuP,S-methyl-L-methionine transporter,,ECK0262; ykfD,
b0261,mmuM,homocysteine S-methyltransferase,,ECK0263; yagD,2.1.1.10
b0262,afuC,ABC transporter ATP-binding protein AfuC,,ECK0264; fbpC; yagC,
b0263,afuB,,,ECK0265; fbpB,
b0264,insB2,IS1 protein InsB,,ECK0022,
b0265,insA2,IS1 protein InsA,,ECK0023,
b4708,insI2,,,ECK4564,
b4505,insX,,,ECK0266; ECK4473; ykgN,
b0266,yagB,orphan antitoxin YagB,,ECK0267,
b0267,yagA,integrase core domain-containing protein YagA,,ECK0268,
b0268,yagE,2-dehydro-3-deoxygluconate aldolase,,ECK0269,4.1.2.28; 4.1.2.51
b0269,yagF,D-xylonate dehydratase,,ECK0270,4.2.1.82
b0270,yagG,putative D-xylonate transporter YagG,,ECK0271,
b0271,yagH,putative xylosidase/arabinosidase,,ECK0272,
b0272,xynR,DNA-binding transcriptional repressor XynR,,ECK0273; yagI,
b0273,argF,ornithine carbamoyltransferase ArgF,,ECK0274,2.1.3.3
b4766,argL,putative translational regulatory protein ArgL,,ECK4623,
b4688,ykgS,protein YkgS,,ECK4504,
b0274,insB3,IS1 protein InsB,,ECK0022,
b0275,insA3,IS1 protein InsA,,ECK0023,
b0276,yagJ,protein YagJ,,ECK0275,
b0277,yagK,uncharacterized protein YagK,,ECK0276,
b0278,yagL,resolvase-like catalytic domain-containing protein YagL,,ECK0277,
b0279,yagM,protein YagM,,ECK0278,
b4729,ykgV,protein YkgV,,ECK4586,
b0280,yagN,protein YagN,,ECK0279,
b0281,intF,putative phage integrase,,ECK0280; yagO,
b0282,yagP,putative LysR family substrate binding domain-containing protein YagP,,b4695; ECK0281; ykgT,
b0283,paoD,molybdenum cofactor insertion chaperone PaoD,,ECK0282; yagQ,
b0284,paoC,"aldehyde dehydrogenase, molybdenum cofactor-binding subunit",,ECK0283; yagR,1.2.99.6
b0285,paoB,"aldehyde dehydrogenase, FAD-binding Fe-S subunit",,ECK0284; yagS,1.2.99.6
b0286,paoA,"aldehyde dehydrogenase, Fe-S subunit",,ECK0285; yagT,1.2.99.6
b0287,yagU,DUF1440 domain-containing inner membrane protein YagU,,ECK0286,
b0288,ykgJ,putative metal-chelating domain-containing protein YkgJ,,ECK0287,
b0289,ecpE,putative fimbrial chaperone EcpE,,ECK0288; matF; yagV,
b0290,ecpD,fimbrial adhesin EcpD,,ECK0289; matE; yagW,
b0291,ecpC,putative fimbrial usher protein EcpC,,ECK0290; matD; yagX,
b0292,ecpB,putative fimbrial chaperone EcpB,,ECK0291; matC; yagY,
b0293,ecpA,common pilus major subunit,,ECK0292; matB; yagZ,
b0294,matA,DNA-binding transcriptional dual regulator MatA,,ECK0293; ecpR; ykgK,
b0295,ykgL,uncharacterized protein YkgL,,ECK0294,
b4506,ykgO,50S ribosomal subunit protein L36B,,ECK0295,
b0296,ykgM,50S ribosomal subunit protein L31B,,ECK0296,
b4671,ykgR,putative membrane protein YkgR,,ECK4486,
b4630,ykgP,,,ECK4446,
b0297,eaeH,,,ECK0297,
b0298,insE1,IS3 element protein InsE,,ECK0298,
b0299,insF1,IS3 element protein InsF,,ECK0299; tra5-5,
b0300,ykgA,,,ECK0300,
b4631,ykgQ,,,ECK4454,
b0301,rclC,DUF417 domain-containing inner membrane protein RclC,,ECK0301; ykgB,
b0303,rclB,hypochlorite stress response protein RclB,,ECK0302; ykgI,
b0304,rclA,cupric reductase RclA,,ECK0303; ykgC,
b0305,rclR,DNA-binding transcriptional activator RclR,,ECK0304; ykgD,
b0306,ykgE,putative lactate utilization oxidoreductase YkgE,,ECK0305,
b0307,ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,,ECK0306,
b0308,ykgG,DUF162 domain-containing lactate utilization protein YkgG,,ECK0307,
b0310,ykgH,uncharacterized protein YkgH,,ECK0308,
b0311,betA,choline dehydrogenase,,ECK0309,1.1.99.1
b0312,betB,betaine aldehyde dehydrogenase,,ECK0310,1.2.1.8
b0313,betI,DNA-binding transcriptional repressor BetI,,ECK0311,
b0314,betT,choline:H(+) symporter,,ECK0312,
b4730,yahV,protein YahV,,ECK4587,
b0315,pdeL,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL,,ECK0313; yahA,3.1.4.52
b0316,yahB,putative LysR-type DNA-binding transcriptional regulator YahB,,ECK0314,
b0317,yahC,uncharacterized protein YahC,,ECK0315,
b0318,yahD,ankyrin repeat-containing protein YahD,,ECK0316,
b0319,yahE,DUF2877 domain-containing protein YahE,,ECK0317,
b0320,yahF,putative acyl-CoA synthetase YahF,,ECK0318,
b0321,yahG,DUF1116 domain-containing protein YahG,,ECK0319,
b0322,yahH,putative uncharacterized protein YahH,,ECK0320,
b0323,yahI,carbamate kinase-like protein YahI,,ECK0321,
b0324,yahJ,amidohydrolase family protein YahJ,,ECK0322,
b0325,yahK,"aldehyde reductase, NADPH-dependent",,ECK0323,1.1.1.2; 1.1.1.55
b0326,yahL,uncharacterized protein YahL,,ECK0324,
b4845,xtpA,putative transcriptional regulator XtpA,,ECK4702,
b0327,yahM,uncharacterized protein YahM,,ECK0325,
b0328,yahN,putative amino acid exporter YahN,,ECK0326,
b0329,yahO,DUF1471 domain-containing protein YahO,,ECK0327,
b0330,prpR,DNA-binding transcriptional dual regulator PrpR,,ECK0328; yahP,
b0331,prpB,2-methylisocitrate lyase,,ECK0329; yahQ,4.1.3.30
b0333,prpC,2-methylcitrate synthase,,ECK0330; yahS; yzzD,2.3.3.5
b0334,prpD,2-methylcitrate dehydratase,,acnC; ECK0331; yahT,4.2.1.79
b0335,prpE,propionyl-CoA synthetase,,ECK0332; yahU,6.2.1.17
b0336,codB,cytosine transporter,,ECK0333,
