gene_id,Symbol,product,,gene_synonym,EC_number
b1267,yciO,putative RNA-binding protein YciO,,ECK1261,
b1268,yciQ,DUF2207 domain-containing protein YciQ,,ECK1262; yciP,
b1269,rluB,23S rRNA pseudouridine(2605) synthase,,ECK1263; yciL,5.4.99.22
b1270,btuR,cobinamide/cobalamin adenosyltransferase,,cobA; ECK1264,2.5.1.17
b1271,yciK,putative oxidoreductase,,ECK1265,
b1272,sohB,S49 peptidase family protein,,ECK1266,
b1273,yciN,protein YciN,,ECK1267,
b1274,topA,DNA topoisomerase I,,ECK1268; supX,5.6.2.1
b1275,cysB,DNA-binding transcriptional dual regulator CysB,,ECK1269,
b4522,ymiA,uncharacterized protein YmiA,,ECK4433; yciX_1,
b4523,yciX,uncharacterized protein YciX,,ECK1270; yciX_2,
b4741,ymiC,protein YmiC,,ECK4598,
b1276,acnA,aconitate hydratase 1,,acn; ECK1271,
b1277,ribA,GTP cyclohydrolase 2,,ECK1272,3.5.4.25
b1278,pgpB,phosphatidylglycerophosphatase B,,ECK1273,3.1.3.27; 3.6.1.27; 3.6.1.75
b1279,lapA,lipopolysaccharide assembly protein A,,ECK1274; yciS,
b1280,lapB,lipopolysaccharide assembly protein B,,ECK1275; yciM,
b1281,pyrF,orotidine-5'-phosphate decarboxylase,,ECK1276,4.1.1.23
b1282,yciH,putative translation factor,,ECK1277,
b1283,osmB,osmotically-inducible lipoprotein OsmB,,ECK1278,
b1284,yciT,DNA-binding transcriptional dual regulator YciT,,deoT; ECK1279,
b4596,yciZ,UPF0509 family protein YciZ,,deoL; ECK4406,
b4772,ymiD,protein YmiD,,ECK4629,
b1285,pdeR,cyclic di-GMP phosphodiesterase PdeR,,ECK1280; gmr; yciR,3.1.4.52
b4672,ymiB,putative protein YmiB,,ECK4487,
b1286,rnb,RNase II,,ECK1281,3.1.13.1; 3.1.13.4
b1287,yciW,putative peroxidase YciW,,ECK1282,
b1288,fabI,enoyl-[acyl-carrier-protein] reductase,,ECK1283; envM; gts; qmeA,1.3.1.104; 1.3.1.9
