gene_id,kegg_pathways,pathway_names,metabolite_group
AT5G56970,ath00908,Zeatin biosynthesis,terpenoids & carotenoids
AT5G57030,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT5G57220,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT5G57260,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT5G58390,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G58400,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G58770,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G58780,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G58782,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G58784,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G58860,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT5G60500,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G60510,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G60600,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G62790,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT5G63590,ath00941,Flavonoid biosynthesis,phenylpropanoids & polyphenols
AT5G64100,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G64110,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G64120,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G65780,ath00966,Glucosinolate biosynthesis,glucosinolates
AT5G66220,ath00941,Flavonoid biosynthesis,phenylpropanoids & polyphenols
AT5G66390,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G66690,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT5G67030,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT5G67400,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
