gene_id,kegg_pathways,pathway_names,metabolite_group
AT3G16980,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G17070,ath00360,Phenylalanine metabolism,amino acids
AT3G17240,ath00010; ath00620; ath00260; ath00280,"Glycolysis / Gluconeogenesis; Pyruvate metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation",amino acids
AT3G17390,ath00270,Cysteine and methionine metabolism,amino acids
AT3G17760,ath00650; ath00250; ath00410; ath00430,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism",amino acids
AT3G17810,ath00240; ath00410,Pyrimidine metabolism; beta-Alanine metabolism,amino acids
AT3G17820,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT3G17940,ath00010,Glycolysis / Gluconeogenesis,sugar
AT3G18000,ath00564,Glycerophospholipid metabolism,other
AT3G18080,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT3G18410,ath00190,Oxidative phosphorylation,other
AT3G18680,ath00240,Pyrimidine metabolism,other
AT3G18850,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT3G19420,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT3G19480,ath00260,"Glycine, serine and threonine metabolism",other
AT3G19710,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT3G19820,ath00100,Steroid biosynthesis,other
AT3G20040,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G20330,ath00240; ath00250,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT3G20540,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G21110,ath00230,Purine metabolism,other
AT3G21160,ath00510,N-Glycan biosynthesis,other
AT3G21230,ath00360,Phenylalanine metabolism,amino acids
AT3G21240,ath00360,Phenylalanine metabolism,amino acids
AT3G21300,ath00340; ath00350,Histidine metabolism; Tyrosine metabolism,amino acids
AT3G21720,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT3G21770,ath00360,Phenylalanine metabolism,amino acids
AT3G22320,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G22400,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G22425,ath00340,Histidine metabolism,amino acids
AT3G22460,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT3G22740,ath00270,Cysteine and methionine metabolism,amino acids
AT3G22890,ath00920; ath00230; ath00450,Sulfur metabolism; Purine metabolism; Selenocompound metabolism,other
AT3G22960,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G23490,ath00910,Nitrogen metabolism,other
AT3G23580,ath00230; ath00240; ath00480,Purine metabolism; Pyrimidine metabolism; Glutathione metabolism,other
AT3G23790,ath00071,Fatty acid degradation,organic-acids
AT3G23810,ath00270,Cysteine and methionine metabolism,amino acids
AT3G23820,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G24030,ath00730,Thiamine metabolism,other
AT3G24090,ath00520; ath00250,"Amino sugar and nucleotide sugar metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT3G24170,ath00480,Glutathione metabolism,other
AT3G24230,ath00040,Pentose and glucuronate interconversions,sugar
AT3G24360,ath00640; ath00650; ath00071; ath00280; ath00380; ath00410,"Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT3G24670,ath00040,Pentose and glucuronate interconversions,sugar
AT3G25110,ath00061,Fatty acid biosynthesis,organic-acids
AT3G25140,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT3G25570,ath00270; ath00330,Cysteine and methionine metabolism; Arginine and proline metabolism,amino acids
AT3G25760,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G25770,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G25780,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT3G25900,ath00270,Cysteine and methionine metabolism,amino acids
AT3G25940,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT3G25960,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT3G26650,ath00710,Carbon fixation in photosynthetic organisms,other
AT3G26720,ath00511,Other glycan degradation,other
AT3G27060,ath00230; ath00240; ath00480,Purine metabolism; Pyrimidine metabolism; Glutathione metabolism,other
AT3G27180,ath00340; ath00350,Histidine metabolism; Tyrosine metabolism,amino acids
AT3G27190,ath00240,Pyrimidine metabolism,other
AT3G27240,ath00190,Oxidative phosphorylation,other
AT3G27300,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT3G27380,ath00190,Oxidative phosphorylation,other
AT3G27400,ath00040,Pentose and glucuronate interconversions,sugar
AT3G27440,ath00240,Pyrimidine metabolism,other
AT3G27540,ath00510,N-Glycan biosynthesis,other
AT3G27690,ath00196,Photosynthesis – antenna proteins,other
AT3G27740,ath00240; ath00250,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT3G27820,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT3G28200,ath00360,Phenylalanine metabolism,amino acids
AT3G28480,ath00330,Arginine and proline metabolism,amino acids
