gene_id,kegg_pathways,pathway_names,metabolite_group
AT4G11820,ath00650; ath00072; ath00280,"Butanoate metabolism; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation",organic-acids
AT4G11840,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT4G11850,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT4G12110,ath00100,Steroid biosynthesis,other
AT4G12250,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G12440,ath00230,Purine metabolism,other
AT4G12800,ath00195,Photosynthesis,other
AT4G13050,ath00061,Fatty acid biosynthesis,organic-acids
AT4G13180,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT4G13210,ath00040,Pentose and glucuronate interconversions,sugar
AT4G13260,ath00380,Tryptophan metabolism,amino acids
AT4G13360,ath00640; ath00650; ath00071; ath00280; ath00380; ath00410,"Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT4G13430,ath00660,C5-Branched dibasic acid metabolism,organic-acids
AT4G13610,ath00270,Cysteine and methionine metabolism,amino acids
AT4G13660,ath00640,Propanoate metabolism,organic-acids
AT4G13710,ath00040,Pentose and glucuronate interconversions,sugar
AT4G13720,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G13780,ath00450,Selenocompound metabolism,other
AT4G13890,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT4G13930,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT4G13940,ath00270,Cysteine and methionine metabolism,amino acids
AT4G14070,ath00071,Fatty acid degradation,organic-acids
AT4G14140,ath00270,Cysteine and methionine metabolism,amino acids
AT4G14680,ath00920; ath00230; ath00450,Sulfur metabolism; Purine metabolism; Selenocompound metabolism,other
AT4G14710,ath00270,Cysteine and methionine metabolism,amino acids
AT4G14716,ath00270,Cysteine and methionine metabolism,amino acids
AT4G14880,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT4G14890,ath00195,Photosynthesis,other
AT4G14910,ath00340,Histidine metabolism,amino acids
AT4G14930,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G15440,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT4G15530,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT4G16130,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT4G16155,ath00010; ath00620; ath00260; ath00280,"Glycolysis / Gluconeogenesis; Pyruvate metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation",amino acids
AT4G16210,ath00640; ath00650; ath00071; ath00280; ath00380; ath00410,"Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT4G16265,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G16270,ath00360,Phenylalanine metabolism,amino acids
AT4G16700,ath00564,Glycerophospholipid metabolism,other
AT4G16710,ath00510,N-Glycan biosynthesis,other
AT4G16760,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT4G16800,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT4G17090,ath00500,Starch and sucrose metabolism,sugar
AT4G17260,ath00010; ath00620; ath00640; ath00270,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Propanoate metabolism; Cysteine and methionine metabolism,amino acids
AT4G17360,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT4G17470,ath00062,Fatty acid elongation,organic-acids
AT4G17480,ath00062,Fatty acid elongation,organic-acids
AT4G17483,ath00062,Fatty acid elongation,organic-acids
AT4G17690,ath00360,Phenylalanine metabolism,amino acids
AT4G17830,ath00330,Arginine and proline metabolism,amino acids
AT4G18230,ath00510,N-Glycan biosynthesis,other
AT4G18360,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT4G18440,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT4G19020,ath00270,Cysteine and methionine metabolism,amino acids
AT4G19710,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT4G19810,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT4G20320,ath00240,Pyrimidine metabolism,other
AT4G20460,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT4G20930,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT4G20960,ath00740,Riboflavin metabolism,other
AT4G20990,ath00910,Nitrogen metabolism,other
AT4G21000,ath00910,Nitrogen metabolism,other
AT4G21280,ath00195,Photosynthesis,other
AT4G21470,ath00740,Riboflavin metabolism,other
AT4G21490,ath00190,Oxidative phosphorylation,other
AT4G21710,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G21960,ath00360,Phenylalanine metabolism,amino acids
AT4G22080,ath00040,Pentose and glucuronate interconversions,sugar
AT4G22090,ath00040,Pentose and glucuronate interconversions,sugar
AT4G22110,ath00010; ath00071; ath00350,Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism,amino acids
AT4G22330,ath00600,Sphingolipid metabolism,other
AT4G22570,ath00230,Purine metabolism,other
AT4G22753,ath00100,Steroid biosynthesis,other
AT4G22756,ath00100,Steroid biosynthesis,other
AT4G22930,ath00240,Pyrimidine metabolism,other
AT4G23100,ath00480,Glutathione metabolism,other
AT4G23710,ath00190,Oxidative phosphorylation,other
AT4G23730,ath00010,Glycolysis / Gluconeogenesis,sugar
AT4G23850,ath00071,Fatty acid degradation,organic-acids
AT4G23900,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G23920,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G24040,ath00500,Starch and sucrose metabolism,sugar
AT4G24620,ath00010; ath00030; ath00500; ath00520,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G24780,ath00040,Pentose and glucuronate interconversions,sugar
AT4G24830,ath00250; ath00330,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT4G25000,ath00500,Starch and sucrose metabolism,sugar
AT4G25180,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G25280,ath00240,Pyrimidine metabolism,other
AT4G25950,ath00190,Oxidative phosphorylation,other
AT4G25970,ath00564,Glycerophospholipid metabolism,other
AT4G26010,ath00360,Phenylalanine metabolism,amino acids
AT4G26200,ath00270,Cysteine and methionine metabolism,amino acids
AT4G26210,ath00190,Oxidative phosphorylation,other
AT4G26260,ath00053; ath00562,Ascorbate and aldarate metabolism; Inositol phosphate metabolism,alcohol-sugars
AT4G26270,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT4G26390,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT4G26510,ath00240,Pyrimidine metabolism,other
AT4G26520,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT4G26530,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT4G26710,ath00190,Oxidative phosphorylation,other
AT4G26770,ath00564,Glycerophospholipid metabolism,other
AT4G26850,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT4G26900,ath00340,Histidine metabolism,amino acids
AT4G26970,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT4G27070,ath00260,"Glycine, serine and threonine metabolism",other
AT4G27550,ath00500,Starch and sucrose metabolism,sugar
AT4G28060,ath00190,Oxidative phosphorylation,other
AT4G28220,ath00190,Oxidative phosphorylation,other
AT4G28660,ath00195,Photosynthesis,other
AT4G28680,ath00350,Tyrosine metabolism,amino acids
AT4G28750,ath00195,Photosynthesis,other
AT4G29010,ath00592,alpha-Linolenic acid metabolism,organic-acids
AT4G29130,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G29210,ath00590; ath00430; ath00460; ath00480,Arachidonic acid metabolism; Taurine and hypotaurine metabolism; Cyanoamino acid metabolism; Glutathione metabolism,amino acids
AT4G29220,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT4G29480,ath00190,Oxidative phosphorylation,other
AT4G29840,ath00260; ath00750,"Glycine, serine and threonine metabolism; Vitamin B6 metabolism",other
AT4G30170,ath00360,Phenylalanine metabolism,amino acids
AT4G30190,ath00190,Oxidative phosphorylation,other
AT4G30440,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G30580,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT4G30910,ath00480,Glutathione metabolism,other
AT4G30920,ath00480,Glutathione metabolism,other
AT4G30950,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT4G31500,ath00380,Tryptophan metabolism,amino acids
AT4G31760,ath00360,Phenylalanine metabolism,amino acids
AT4G31780,ath00561,Glycerolipid metabolism,other
AT4G31810,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT4G31870,ath00590; ath00480,Arachidonic acid metabolism; Glutathione metabolism,organic-acids
AT4G31990,ath00710; ath00250; ath00270; ath00330; ath00350; ath00360,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism",amino acids
AT4G32260,ath00190; ath00195,Oxidative phosphorylation; Photosynthesis,other
AT4G32320,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT4G32470,ath00190,Oxidative phosphorylation,other
AT4G32520,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT4G32530,ath00190,Oxidative phosphorylation,other
AT4G32540,ath00380,Tryptophan metabolism,amino acids
AT4G32840,ath00010; ath00030; ath00051; ath00052,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism,sugar
AT4G33010,ath00260,"Glycine, serine and threonine metabolism",other
AT4G33030,ath00520; ath00561,Amino sugar and nucleotide sugar metabolism; Glycerolipid metabolism,sugar
AT4G33070,ath00010,Glycolysis / Gluconeogenesis,sugar
AT4G33220,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT4G33240,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G33420,ath00360,Phenylalanine metabolism,amino acids
AT4G33580,ath00910,Nitrogen metabolism,other
AT4G33670,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT4G33680,ath00300,Lysine biosynthesis,amino acids
AT4G33770,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G33910,ath00330,Arginine and proline metabolism,amino acids
AT4G34030,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT4G34050,ath00360,Phenylalanine metabolism,amino acids
AT4G34200,ath00260,"Glycine, serine and threonine metabolism",other
AT4G34240,ath00010; ath00040; ath00053; ath00620; ath00640; ath00071; ath00561; ath00280; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Valine, leucine and isoleucine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT4G34570,ath00240,Pyrimidine metabolism,other
AT4G34640,ath00100,Steroid biosynthesis,other
AT4G34650,ath00100,Steroid biosynthesis,other
AT4G34700,ath00190,Oxidative phosphorylation,other
AT4G34710,ath00330,Arginine and proline metabolism,amino acids
AT4G34720,ath00190,Oxidative phosphorylation,other
AT4G34740,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT4G34840,ath00270,Cysteine and methionine metabolism,amino acids
AT4G34890,ath00230,Purine metabolism,other
AT4G34900,ath00230,Purine metabolism,other
AT4G35000,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT4G35090,ath00380,Tryptophan metabolism,amino acids
AT4G35460,ath00240; ath00450,Pyrimidine metabolism; Selenocompound metabolism,other
AT4G35530,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT4G35630,ath00260; ath00750,"Glycine, serine and threonine metabolism; Vitamin B6 metabolism",other
AT4G35640,ath00920; ath00270,Sulfur metabolism; Cysteine and methionine metabolism,amino acids
AT4G35800,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT4G35810,ath00330,Arginine and proline metabolism,amino acids
AT4G35820,ath00330,Arginine and proline metabolism,amino acids
AT4G35830,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT4G35970,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT4G36250,ath00010; ath00040; ath00053; ath00620; ath00640; ath00071; ath00561; ath00280; ath00330; ath00340; ath00380; ath00410,"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Pyruvate metabolism; Propanoate metabolism; Fatty acid degradation; Glycerolipid metabolism; Valine, leucine and isoleucine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism",amino acids
AT4G36430,ath00360,Phenylalanine metabolism,amino acids
AT4G36480,ath00600,Sphingolipid metabolism,other
AT4G37520,ath00360,Phenylalanine metabolism,amino acids
AT4G37530,ath00360,Phenylalanine metabolism,amino acids
AT4G37550,ath00630; ath00910,Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism,organic-acids
AT4G37560,ath00630; ath00910,Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism,organic-acids
AT4G37670,ath00330,Arginine and proline metabolism,amino acids
AT4G37760,ath00100,Steroid biosynthesis,other
AT4G37770,ath00270,Cysteine and methionine metabolism,amino acids
AT4G37830,ath00190,Oxidative phosphorylation,other
AT4G37840,ath00010; ath00051; ath00052; ath00500; ath00520,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G37870,ath00010; ath00620; ath00710,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms,sugar
AT4G37930,ath00260; ath00460,"Glycine, serine and threonine metabolism; Cyanoamino acid metabolism",amino acids
AT4G38220,ath00330,Arginine and proline metabolism,amino acids
AT4G38240,ath00510,N-Glycan biosynthesis,other
AT4G38270,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G38510,ath00190,Oxidative phosphorylation,other
AT4G38530,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G38570,ath00562; ath00564,Inositol phosphate metabolism; Glycerophospholipid metabolism,alcohol-sugars
AT4G38800,ath00270,Cysteine and methionine metabolism,amino acids
AT4G38880,ath00230; ath00250,"Purine metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT4G38920,ath00190,Oxidative phosphorylation,other
AT4G38970,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT4G39000,ath00500,Starch and sucrose metabolism,sugar
AT4G39010,ath00500,Starch and sucrose metabolism,sugar
AT4G39080,ath00190,Oxidative phosphorylation,other
AT4G39210,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT4G39640,ath00590; ath00430; ath00460; ath00480,Arachidonic acid metabolism; Taurine and hypotaurine metabolism; Cyanoamino acid metabolism; Glutathione metabolism,amino acids
AT4G39650,ath00590; ath00430; ath00460; ath00480,Arachidonic acid metabolism; Taurine and hypotaurine metabolism; Cyanoamino acid metabolism; Glutathione metabolism,amino acids
AT4G39660,ath00250; ath00260,"Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism",amino acids
AT4G39800,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT4G39940,ath00920; ath00230,Sulfur metabolism; Purine metabolism,other
AT4G39950,ath00380,Tryptophan metabolism,amino acids
AT5G01220,ath00561,Glycerolipid metabolism,other
AT5G01320,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G01330,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G01410,ath00750,Vitamin B6 metabolism,other
AT5G01530,ath00196,Photosynthesis – antenna proteins,other
AT5G02410,ath00510,N-Glycan biosynthesis,other
AT5G03080,ath00510,N-Glycan biosynthesis,other
AT5G03300,ath00230,Purine metabolism,other
AT5G03370,ath00620,Pyruvate metabolism,other
AT5G03630,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT5G03650,ath00500,Starch and sucrose metabolism,sugar
AT5G03690,ath00010; ath00030; ath00051; ath00710,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation in photosynthetic organisms,sugar
AT5G03860,ath00620; ath00630,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism,organic-acids
AT5G04120,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G04140,ath00910,Nitrogen metabolism,other
AT5G04180,ath00910,Nitrogen metabolism,other
AT5G04230,ath00910; ath00360,Nitrogen metabolism; Phenylalanine metabolism,amino acids
AT5G04310,ath00040,Pentose and glucuronate interconversions,sugar
AT5G04590,ath00920,Sulfur metabolism,other
AT5G04970,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT5G05340,ath00360,Phenylalanine metabolism,amino acids
AT5G05460,ath00511,Other glycan degradation,other
AT5G05580,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT5G06090,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT5G06580,ath00620,Pyruvate metabolism,other
AT5G06720,ath00360,Phenylalanine metabolism,amino acids
AT5G06730,ath00360,Phenylalanine metabolism,amino acids
AT5G07440,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G07630,ath00510,N-Glycan biosynthesis,other
AT5G07920,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT5G08030,ath00564,Glycerophospholipid metabolism,other
AT5G08170,ath00330,Arginine and proline metabolism,amino acids
AT5G08300,ath00640,Propanoate metabolism,organic-acids
AT5G08370,ath00052; ath00561; ath00600; ath00603,Galactose metabolism; Glycerolipid metabolism; Sphingolipid metabolism; Glycosphingolipid biosynthesis – globo series,sugar
AT5G08380,ath00052; ath00561; ath00600; ath00603,Galactose metabolism; Glycerolipid metabolism; Sphingolipid metabolism; Glycosphingolipid biosynthesis – globo series,sugar
AT5G08530,ath00190,Oxidative phosphorylation,other
AT5G08570,ath00010; ath00620; ath00710; ath00230,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Purine metabolism,sugar
AT5G08670,ath00190,Oxidative phosphorylation,other
AT5G08680,ath00190,Oxidative phosphorylation,other
AT5G08690,ath00190,Oxidative phosphorylation,other
AT5G09280,ath00040,Pentose and glucuronate interconversions,sugar
AT5G09290,ath00562; ath00920,Inositol phosphate metabolism; Sulfur metabolism,alcohol-sugars
AT5G09300,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT5G09350,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G09650,ath00190,Oxidative phosphorylation,other
AT5G09660,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT5G09920,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G10000,ath00195,Photosynthesis,other
AT5G10050,ath00564; ath00565,Glycerophospholipid metabolism; Ether lipid metabolism,other
AT5G10160,ath00061,Fatty acid biosynthesis,organic-acids
AT5G10170,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G10240,ath00910; ath00250,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism",amino acids
AT5G10330,ath00340; ath00350; ath00360,Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT5G10480,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT5G10920,ath00250; ath00330,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G11160,ath00230,Purine metabolism,other
AT5G11320,ath00380,Tryptophan metabolism,amino acids
AT5G11520,ath00710; ath00250; ath00270; ath00330; ath00350; ath00360,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism",amino acids
AT5G11670,ath00620; ath00710,Pyruvate metabolism; Carbon fixation in photosynthetic organisms,other
AT5G11720,ath00052; ath00500,Galactose metabolism; Starch and sucrose metabolism,sugar
AT5G11770,ath00190,Oxidative phosphorylation,other
AT5G11880,ath00300,Lysine biosynthesis,amino acids
AT5G12040,ath00250,"Alanine, aspartate and glutamate metabolism",amino acids
AT5G12200,ath00240; ath00410,Pyrimidine metabolism; beta-Alanine metabolism,amino acids
AT5G13110,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT5G13280,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT5G13420,ath00030,Pentose phosphate pathway,sugar
AT5G13430,ath00190,Oxidative phosphorylation,other
AT5G13440,ath00190,Oxidative phosphorylation,other
AT5G13450,ath00190,Oxidative phosphorylation,other
AT5G13520,ath00590,Arachidonic acid metabolism,organic-acids
AT5G13690,ath00531,Glycosaminoglycan degradation,other
AT5G13710,ath00100,Steroid biosynthesis,other
AT5G14060,ath00260; ath00270; ath00300,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis",amino acids
AT5G14130,ath00360,Phenylalanine metabolism,amino acids
AT5G14480,ath00510,N-Glycan biosynthesis,other
AT5G14580,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G14590,ath00480,Glutathione metabolism,other
AT5G14650,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT5G14740,ath00910,Nitrogen metabolism,other
AT5G14760,ath00250,"Alanine, aspartate and glutamate metabolism",amino acids
AT5G14780,ath00630,Glyoxylate and dicarboxylate metabolism,organic-acids
AT5G14800,ath00330,Arginine and proline metabolism,amino acids
AT5G14850,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT5G14950,ath00510,N-Glycan biosynthesis,other
AT5G15110,ath00040,Pentose and glucuronate interconversions,sugar
AT5G15120,ath00430,Taurine and hypotaurine metabolism,other
AT5G15140,ath00010,Glycolysis / Gluconeogenesis,sugar
AT5G15180,ath00360,Phenylalanine metabolism,amino acids
AT5G15470,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G15490,ath00040; ath00053; ath00500; ath00520,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G15530,ath00620; ath00640; ath00061,Pyruvate metabolism; Propanoate metabolism; Fatty acid biosynthesis,organic-acids
AT5G15770,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G15950,ath00270; ath00330,Cysteine and methionine metabolism; Arginine and proline metabolism,amino acids
AT5G16230,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT5G16240,ath00061; ath01040,Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids,organic-acids
AT5G16390,ath00620; ath00640; ath00061,Pyruvate metabolism; Propanoate metabolism; Fatty acid biosynthesis,organic-acids
AT5G16570,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G16760,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT5G17200,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT5G17220,ath00480,Glutathione metabolism,other
AT5G17310,ath00040; ath00052; ath00500; ath00520,Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G17330,ath00650; ath00250; ath00410; ath00430,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism",amino acids
AT5G17770,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G17820,ath00360,Phenylalanine metabolism,amino acids
AT5G17920,ath00270; ath00450,Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT5G18070,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G18170,ath00910; ath00250; ath00330,"Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism",amino acids
AT5G18200,ath00052; ath00520,Galactose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G18280,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT5G18800,ath00190,Oxidative phosphorylation,other
AT5G18900,ath00330,Arginine and proline metabolism,amino acids
AT5G18930,ath00270; ath00330,Cysteine and methionine metabolism; Arginine and proline metabolism,amino acids
AT5G19130,ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,alcohol-sugars
AT5G19220,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT5G19530,ath00270; ath00330; ath00410; ath00480,Cysteine and methionine metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Glutathione metabolism,amino acids
AT5G19550,ath00710; ath00250; ath00270; ath00330; ath00350; ath00360,"Carbon fixation in photosynthetic organisms; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism",amino acids
AT5G19690,ath00510,N-Glycan biosynthesis,other
AT5G19730,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT5G19880,ath00360,Phenylalanine metabolism,amino acids
AT5G19890,ath00360,Phenylalanine metabolism,amino acids
AT5G20080,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT5G20280,ath00500,Starch and sucrose metabolism,sugar
AT5G20410,ath00561,Glycerolipid metabolism,other
AT5G20830,ath00500,Starch and sucrose metabolism,sugar
AT5G20960,ath00380,Tryptophan metabolism,amino acids
AT5G20980,ath00270; ath00450,Cysteine and methionine metabolism; Selenocompound metabolism,amino acids
AT5G21100,ath00053,Ascorbate and aldarate metabolism,acid-sugars
AT5G22110,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
