"tair_id","r_value"
"AT1G56100",0.938
"AT1G61720",0.917
"AT5G53100",0.906
"AT1G09370",0.894
"AT3G17600",0.893
"AT1G65480",0.887
"AT5G57520",0.884
"AT4G15750",0.867
"AT1G11590",0.865
"AT5G49180",0.858
"AT5G51480",0.85
"AT1G04645",0.849
"AT4G22400",0.849
"AT5G55250",0.833
"AT5G35550",0.826
"AT3G19550",0.823
"AT2G27130",0.815
"AT1G34580",0.812
"AT1G10540",0.805
"AT1G65300",0.801
"AT1G24540",0.801
"AT5G10230",0.8
"AT3G21840",0.798
"AT1G09550",0.797
"AT5G58500",0.795
"AT3G09140",0.793
"AT2G36710",0.79
"AT4G03930",0.787
"AT3G60900",0.785
"AT5G09370",0.782
"AT2G23910",0.779
"AT1G71690",0.778
"AT5G60630",0.775
"AT5G52500",0.773
"AT3G21860",0.773
"AT3G62610",0.772
"AT2G20160",0.77
"AT5G01200",0.769
"AT1G64290",0.766
"AT3G21850",0.765
"AT5G10220",0.765
"AT3G49050",0.758
"AT1G11960",0.755
"AT1G31290",0.755
"AT3G21830",0.755
"AT1G50650",0.754
"AT1G62340",0.754
"AT5G47530",0.751
"AT2G15325",0.748
"AT2G42830",0.747
"AT4G12960",0.746
"AT1G28170",0.745
"AT4G24260",0.745
"AT3G08900",0.744
"AT5G45770",0.744
"AT4G12910",0.744
"AT4G05050",0.743
"AT2G25540",0.742
"AT2G14690",0.74
"AT4G09820",0.74
"AT5G64900",0.739
"AT3G50990",0.736
"AT1G19320",0.732
"AT1G62900",0.731
"AT5G03190",0.731
"AT5G55320",0.731
"AT4G22110",0.73
"AT2G03040",0.728
"AT3G18180",0.723
"AT2G45830",0.721
"AT3G10590",0.721
"AT5G54400",0.721
"AT4G17660",0.72
"AT5G01790",0.72
"AT1G79840",0.718
"AT3G52550",0.718
"AT5G37730",0.717
"AT4G27550",0.715
"AT1G07090",0.714
"AT5G39220",0.714
"AT1G02940",0.713
"AT5G46300",0.712
"AT1G71890",0.711
"AT1G36340",0.711
"AT4G11180",0.71
"AT2G34890",0.709
"AT5G62150",0.708
"AT2G44250",0.708
"AT2G23550",0.706
"AT2G35290",0.705
"AT5G12460",0.702
"AT2G32750",0.701
"AT1G27080",0.7
"AT1G35625",0.7
"AT3G14520",0.7
"AT2G29370",0.699
"AT2G03190",0.699
"AT3G13370",0.699
"AT2G32370",0.698
"AT1G02720",0.698
"AT4G12890",0.696
"AT2G43050",0.696
"AT2G02515",0.692
"AT4G01420",0.691
"AT3G21310",0.691
"AT1G48930",0.69
"AT3G20210",0.69
"AT4G22870",0.69
"AT1G43640",0.689
"AT2G27700",0.688
"AT4G08530",0.687
